2023-01-30 18:41:31,762 INFO    StreamThr :6056 [internal.py:wandb_internal():87] W&B internal server running at pid: 6056, started at: 2023-01-30 18:41:31.762956
2023-01-30 18:41:31,762 DEBUG   HandlerThread:6056 [handler.py:handle_request():144] handle_request: status
2023-01-30 18:41:31,769 INFO    WriterThread:6056 [datastore.py:open_for_write():85] open: C:\Users\msayd\Documents\Foundations of Deep Learning\Project\dl-competition\wandb\run-20230130_184131-wid6r8il\run-wid6r8il.wandb
2023-01-30 18:41:31,771 DEBUG   SenderThread:6056 [sender.py:send():334] send: header
2023-01-30 18:41:31,821 DEBUG   SenderThread:6056 [sender.py:send():334] send: run
2023-01-30 18:41:32,279 INFO    SenderThread:6056 [dir_watcher.py:__init__():216] watching files in: C:\Users\msayd\Documents\Foundations of Deep Learning\Project\dl-competition\wandb\run-20230130_184131-wid6r8il\files
2023-01-30 18:41:32,279 INFO    SenderThread:6056 [sender.py:_start_run_threads():1065] run started: wid6r8il with start time 1675100491.762956
2023-01-30 18:41:32,279 DEBUG   SenderThread:6056 [sender.py:send_request():361] send_request: summary_record
2023-01-30 18:41:32,279 INFO    SenderThread:6056 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2023-01-30 18:41:32,287 DEBUG   HandlerThread:6056 [handler.py:handle_request():144] handle_request: check_version
2023-01-30 18:41:32,287 DEBUG   SenderThread:6056 [sender.py:send_request():361] send_request: check_version
2023-01-30 18:41:32,398 DEBUG   HandlerThread:6056 [handler.py:handle_request():144] handle_request: run_start
2023-01-30 18:41:32,407 DEBUG   HandlerThread:6056 [system_info.py:__init__():31] System info init
2023-01-30 18:41:32,407 DEBUG   HandlerThread:6056 [system_info.py:__init__():46] System info init done
2023-01-30 18:41:32,407 INFO    HandlerThread:6056 [system_monitor.py:start():151] Starting system monitor
2023-01-30 18:41:32,407 INFO    SystemMonitor:6056 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-01-30 18:41:32,407 INFO    HandlerThread:6056 [system_monitor.py:probe():172] Collecting system info
2023-01-30 18:41:32,422 INFO    SystemMonitor:6056 [interfaces.py:start():168] Started cpu
2023-01-30 18:41:32,428 DEBUG   HandlerThread:6056 [system_info.py:probe():195] Probing system
2023-01-30 18:41:32,428 INFO    SystemMonitor:6056 [interfaces.py:start():168] Started disk
2023-01-30 18:41:32,438 INFO    SystemMonitor:6056 [interfaces.py:start():168] Started memory
2023-01-30 18:41:32,458 INFO    SystemMonitor:6056 [interfaces.py:start():168] Started network
2023-01-30 18:41:32,468 DEBUG   HandlerThread:6056 [system_info.py:_probe_git():180] Probing git
2023-01-30 18:41:32,557 DEBUG   HandlerThread:6056 [system_info.py:_probe_git():188] Probing git done
2023-01-30 18:41:32,557 DEBUG   HandlerThread:6056 [system_info.py:probe():241] Probing system done
